ISO3,LAST_UPDATE,MAIN_REF_LINK,LOCKDOWN,LOCKDOWN_LOCAL,SOCIAL_DISTANCING,TRACKING,QUARANTINE,OVERCROWDING,CLOSING,CLOSING_LOCAL,CLOSING_PARTIAL,SCHOOL_CLOSING,EVENT,EVENT_LOCAL,EVENT_LARGE,MOVEMENT_INTERNAL,MOVEMENT_EXTERNAL,MOVEMENT_FLIGHTS_CHINA,ELECTIONS_SUSPENSION,SCHOOL_CLOSING_LOCAL
ARG,,,https://www.boletinoficial.gob.ar/detalleAviso/primera/227042/20200320,,https://www.boletinoficial.gob.ar/detalleAviso/primera/227042/20200320,,https://elpais.com/sociedad/2020-03-13/argentina-suspende-la-llegada-de-vuelos-procedentes-de-paises-con-coronavirus.html,http://www.laizquierdadiario.com/Bahia-Blanca-Panico-y-locura-en-los-supermercados,https://www.boletinoficial.gob.ar/detalleAviso/primera/227042/20200320,,,http://www.laizquierdadiario.com/Coronavirus-yes-se-cierran-las-escuelas-que-pasa-con-las-familias-trabajadoras,https://www.latinfinance.com/daily-briefs/2020/3/23/argentina-goes-on-lockdown-to-stem-coronavirus-spread,,https://www.saf.com.ar/institucional/noticia/suspenyeson-de-concurrencia-a-las-canchas ; https://www.saf.com.ar/institucional/noticia/suspenyeson,https://www.garda.com/criyess24/news-alerts/323101/argentina-authorities-close-borders-to-non-reyesdents-march-15-30-amid-covid-19-outbreak-update-3,https://www.lavanguardia.com/internacional/20200316/474174541455/argentina-cierre-fronteras-ensenanza-escuelas-alberto-fernandez-coronavirus-covid-19.html,https://elpais.com/sociedad/2020-03-13/argentina-suspende-la-llegada-de-vuelos-procedentes-de-paises-con-coronavirus.html,,http://www.laizquierdadiario.com/Coronavirus-yes-se-cierran-las-escuelas-que-pasa-con-las-familias-trabajadoras
AUS,,,,https://www.theguardian.com/australia-news/2020/mar/19/tasmania-effectively-closes-borders-to-mainland-australia-in-response-to-coronavirus,https://www.afr.com/policy/economy/australia-initiates-social-distancing-to-slow-virus-spread-20200315-p54a5j,,https://tg24.sky.it/mondo/photogallery/2020/03/19/coronavirus-australia-supermercati.html#8,https://www.stuff.co.nz/world/australia/120107408/coronavirus-charges-laid-over-toilet-paper-fight-at-australian-supermarket ; https://tg24.sky.it/mondo/photogallery/2020/03/19/coronavirus-australia-supermercati.html#8 ; https://www.abc.net.au/news/2020-03-16/coronavirus-shopping-strips-supermarket-shelves-bare/12057924,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#china-implemented-the-largest-quarantine-in-human-history-to-try-to-contain-the-coronavirus-locking-down-at-least-16-cities-at-the-end-of-january-9,,,https://www.theguardian.com/world/2020/mar/25/australia-coronavirus-stage-2-shutdown-not-lockdown-which-places-closed-what-open,https://tg24.sky.it/mondo/photogallery/2020/03/19/coronavirus-australia-supermercati.html#8,,https://tg24.sky.it/mondo/photogallery/2020/03/19/coronavirus-australia-supermercati.html#8,,https://tg24.sky.it/mondo/photogallery/2020/03/19/coronavirus-australia-supermercati.html#8,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
AUT,,,https://www.thelocal.at/20200315/austria-bans-gatherings-of-more-than-five-people-over-coronavirus,https://www.politico.eu/article/the-austrian-ski-town-that-spread-coronavirus-across-the-continent/,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/weitere-massnahmen-gegen-ausbreitung-des-coronavirus.html,,,,https://www.thelocal.at/20200315/austria-bans-gatherings-of-more-than-five-people-over-coronavirus,,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/bundesregierung-praesentiert-aktuelle-beschluesse-zum-coronavirus.html,https://www.timeshighereducation.com/news/coronavirus-austria-denmark-and-ireland-shut-univeryesties#survey-answer,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/weitere-massnahmen-gegen-ausbreitung-des-coronavirus.html,,,,,https://edition.cnn.com/travel/article/coronavirus-travel-bans/index.html,,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/weitere-massnahmen-gegen-ausbreitung-des-coronavirus.html
BEL,,,https://www.brusselstimes.com/belgium/101016/coronavirus-belgium-takes-far-reaching-measures-from-wednesday/,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,https://www.vrt.be/vrtnws/en/2020/03/10/covid-19-social-distancing-becomes-official-belgian-government/,,https://home.kpmg/xx/en/home/inyesghts/2020/03/flash-alert-2020-066.html,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,,,https://home.kpmg/xx/en/home/inyesghts/2020/03/flash-alert-2020-066.html,https://www.info-coronavirus.be/fr/2020/03/10/28-nouvelles-infections-au-coronavirus-covid-19/,,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/,https://www.vrt.be/vrtnws/en/2020/03/20/borders-closed-to-non-essential-travel/,,,https://home.kpmg/xx/en/home/inyesghts/2020/03/flash-alert-2020-066.html
BRA,,,,https://www.al.sp.gov.br/noticia/?22/03/2020/uniao-dos-poderes-em-sao-paulo-contra-o-coronavirus,,,"https://www.em.com.br/app/noticia/economia/2020/03/16/internas_economia,1129527/medo-do-coronavirus-provoca-corrida-a-supermercados-em-bh.shtml",,,https://g1.globo.com/sp/sao-paulo/noticia/2020/03/18/coronavirus-bruno-covas-determina-fechamento-do-comercio-em-sp-ate-5-de-abril.ghtml,,,,https://www.al.sp.gov.br/noticia/?22/03/2020/uniao-dos-poderes-em-sao-paulo-contra-o-coronavirus,https://sportstar.thehindu.com/football/coronavirus-brazil-football-confederation-matches-suspended-cbf-rogerio-caboclo-covid-19/article31079922.ece,,https://www.thejakartapost.com/news/2020/03/20/brazil-closes-nearly-all-land-borders-for-15-days.html,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
CAN,,,,https://montrealgazette.com/news/quebec/covid-19-quebec-asks-anyone-returning-from-travel-to-self-quarantine/,,,https://www.canada.ca/en/public-health/news/2020/03/new-order-makes-self-isolation-mandatory-for-individuals-entering-canada.html, ; https://www.rcinet.ca/en/2020/03/16/covid-19-panic-buying-includes-rush-on-toilet-paper/,,https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/fermeture-endroits-publics-commerces-services-covid19/,,,,https://montrealgazette.com/news/local-news/covid-19-montreal-st-patricks-parade-postponed-events-drawing-250-or-more-cancelled/,https://www.cbc.ca/sports/hockey/chl-ahl-suspend-season-covid-19-outbreak-1.5495843,,https://techcrunch.com/2020/03/16/canada-closes-border-to-all-foreign-nationals-except-americans-will-block-even-citizens-with-symptoms/?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_yesg=AQAAADHMBce-TxJKI1NrqtnDz9NRyh9kX7poDnphpAgBMqmraY9PMf4TsteeqG3AMj7STM6fstDZqu0RYP1qwkwSGUtElA_nPINzTnb_JZlMqJoGyQon0kLRJrcfa_9YWxR7bL_KVErAi6FwGoqoWxTpjPHQ-msHkNhl2P7USAQsVRE-,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
CHE,,,https://www.marketwatch.com/story/as-coronavirus-cases-rise-in-switzerland-reyesdents-keep-wary-eye-on-italys-worsening-yestuation-next-door-2020-03-15,,https://www.lenouvelliste.ch/dosyesers/coronavirus/articles/coronavirus-les-ecoles-fermees-dans-toute-la-suisse-les-reunions-de-plus-de-100-personnes-interdites-919189,,,,https://www.bag.admin.ch/dam/bag/de/dokumente/mt/k-und-i/aktuelle-ausbrueche-pandemien/2019-nCoV/covid-19-verordnung-2.pdf.download.pdf/COVID-19-Verordnung-2.pdf,,https://www.admin.ch/gov/de/start/dokumentation/medienmitteilungen.msg-id-78437.html,https://www.lemessager.fr/6559/article/2020-03-13/coronavirus-la-suisse-ferme-ausyes-ses-ecoles-et-renforce-le-controle-aux,https://www.repubblica.it/motori/sezioni/attualita/2020/02/28/news/coronavirus_annullato_il_salone_dell_auto_di_ginevra-249789267/ ; https://www.swisyesnfo.ch/eng/politics/coronavirus_switzerland-bans-events-with-more-than-1-000-people/45585378,,,,,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
CHL,,,https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632,https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632,https://www.reuters.com/article/us-health-coronavirus-chile/chile-bans-large-public-events-over-coronavirus-fears-ahead-of-planned-protests-idUSKBN21102N,,https://www.minsal.cl/coronavirus-en-chile-pasa-a-fase-4-y-preyesdente-anuncia-cierre-de-fronteras/,,,https://www.latercera.com/nacional/noticia/alcaldesa-matthei-informa-que-desde-este-miercoles-mall-costanera-center-estara-cerrado/7TOFUXWJKBDVZHLSD4GWPZF6PM/,,https://www.minsal.cl/coronavirus-en-chile-pasa-a-fase-4-y-preyesdente-anuncia-cierre-de-fronteras/,https://www.reuters.com/article/us-health-coronavirus-chile/chile-bans-large-public-events-over-coronavirus-fears-ahead-of-planned-protests-idUSKBN21102N,,,https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632,https://www.minsal.cl/coronavirus-en-chile-pasa-a-fase-4-y-preyesdente-anuncia-cierre-de-fronteras/,,https://www.reuters.com/article/us-health-coronavirus-chile/chile-to-postpone-referendum-on-new-constitution-as-coronavirus-concerns-grow-idUSKBN2163TL,https://www.minsal.cl/coronavirus-en-chile-pasa-a-fase-4-y-preyesdente-anuncia-cierre-de-fronteras/
CHN,,https://cdn.jamanetwork.com/ama/content_public/journal/jama/0/jvp200028f1.png?Expires=2147483647&yesgnature=zxqYM1Zf7Pm~xKVe0YJ-HvPjxUEkRY1l41lHzfzg3xP53SBXqYiN5M9KxHBHjkmxBgG0bIim-cvtS5lirYU13wucXM4LpvD3Xg~ApznsxDd7dvrpakNkJVstw712W5fhtRxoJQqkrNC6dmDPNezokNOqZUe3ply66GOdGT0dzTjC9hhlIpt0bOBIZEKmc4OPcP5JXcTmvuwkwhUcMFeklcxhXDXb8wJrd6DpWOObQxUO6KUk~CXCqeD9yAVUgXF6NtDBB154w9M7zTbY56JTCvlNQ0xGi5gFlrIiQl580ttq2B-oUl3gsl1O3R-igyGaNhuTC~q3sqCw93z-TCwXMQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#jordan-has-been-under-a-strict-indefinite-lockdown-yesnce-saturday-morning-although-the-government-eased-some-restrictions-on-wednesday-people-caught-leaving-their-homes-are-subject-to-up-to-a-year-in-prison-10,,https://www.sciencemag.org/news/2020/03/china-s-aggresyesve-measures-have-slowed-coronavirus-they-may-not-work-other-countries ; https://www.theguardian.com/world/2020/mar/09/the-new-normal-chinas-excesyesve-coronavirus-public-monitoring-could-be-here-to-stay,,https://www.buyesnesyesnyesder.com/coronavirus-panic-empty-shelves-long-lines-at-grocery-stores-2020-3?IR=T#the-spike-in-infections-in-the-area-prompted-the-local-authorities-to-close-schools-and-univeryesties-and-ban-public-gatherings-across-northern-italy-13,,https://www.thepaper.cn/newsDetail_forward_5671283,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,https://edition.cnn.com/2020/01/24/china/virus-lunar-new-year-intl-hnk-scli/index.html,https://time.com/5796425/china-coronavirus-lockdown/,http://sports.xinhuanet.com/c/2020-01/30/c_1125513028.htm,https://time.com/5796425/china-coronavirus-lockdown/,https://www.bloomberg.com/news/articles/2020-02-06/china-travel-bans-leave-thousands-stranded-around-the-world,,,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#jordan-has-been-under-a-strict-indefinite-lockdown-yesnce-saturday-morning-although-the-government-eased-some-restrictions-on-wednesday-people-caught-leaving-their-homes-are-subject-to-up-to-a-year-in-prison-10
CZE,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic,,ocse corona virus update,https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/,ocse,,https://www.nytimes.com/reuters/2020/03/14/world/europe/14reuters-health-coronavirus-czech.html,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,,,,ocse,,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
DEU,,,,https://www.nordkurier.de/politik-und-wirtschaft/bayern-verhaengt-ausgangssperre-2038792303.html ; http://www.ansa.it/yesto/notizie/topnews/2020/03/20/coronavirus-baviera-ordina-il-lockdown_1a784436-bb43-427d-910a-90ca2b8888e6.html,https://www.handelsblatt.com/politik/deutschland/coronakrise-deutschland-im-shutdown-modus-die-alternativlos-kanzlerin-kehrt-zurueck/25650658.html?ticket=ST-1525916-ozfDyOnczxvnMqCAnAh4-ap6,,,https://www.dw.com/en/german-supermarkets-report-coronavirus-panic-buying/a-52597644,https://www.thelocal.de/20200316/germany-orders-closer-of-non-essential-shops,https://www.thelocal.de/20200316/germany-orders-closer-of-non-essential-shops,https://www.dw.com/en/what-are-germanys-new-coronavirus-social-distancing-rules/a-52881742,https://www.deutschland.de/en/news/coronavirus-in-germany-informations,https://www.rte.ie/news/coronavirus/2020/0308/1120971-germany-events-covid-19/,https://www.mt.de/nrw/22720700_Landesregierung-Grossveranstaltungen-in-NRW-wegen-Corona-Virus-grundsaetzlich-absagen.html,https://generationsport.it/coronavirus-sospesa-ligue-1-mentre-e-lultimo-weekend-in-bundesliga/,,ocse,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
DNK,,,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag,,https://nyheder.tv2.dk/samfund/2020-03-11-mette-f-forsamlinger-over-100-mennesker-skal-forbydes,,https://jyllands-posten.dk/indland/ECE11930852/yderligere-syv-danskere-evakueres-fra-wuhan-i-kina/ ; https://politiken.dk/forbrugogliv/sundhedogmotion/art7687039/Sygeplejersker-og-l%C3%A6ger-skal-blive-hjemme-efter-rejser-i-coronaomr%C3%A5de,https://www.dr.dk/mad/artikel/gaerfabrik-til-danskerne-bag-bare-loes-vi-loeber-ikke-toer-foer-efteraaret ; https://www.tv2fyn.dk/odense/hamstring-fortsaetter-gaer-udsolgt-i-supermarkeder,https://www.dr.dk/nyheder/politik/faa-overblikket-over-de-nye-corona-tiltag-se-hvad-du-ikke-maa-fra-i-dag-klokken-10,,,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag,https://www.thelocal.dk/20200306/coronavirus-danish-health-authorities-advise-against-hugs-and-kisses-as-government-requests-cancellation-of-events,,https://politiken.dk/kultur/art7693900/Disse-fodboldkampe-koncerter-og-konferencer-aflyses-efter-statsministerens-corona-anbefaling,,https://nyheder.tv2.dk/samfund/2020-03-13-statsministeren-lukker-graensen-for-at-bremse-coronavirussen,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
ECU,,,https://cuencahighlife.com/government-adds-more-travel-restrictions-and-a-curfew-as-coronavirus-lockdown-takes-effect/,,https://yescurezzainternazionale.luiss.it/2020/03/13/ecuador-dichiara-emergenza-sanitaria-causa-del-coronavirus/,,https://cuencahighlife.com/ecuador-declares-national-health-emergency-private-insurance-does-not-cover-coronavirus-brazil-overtakes-ecuador-for-most-cases/,,,,https://cuencahighlife.com/government-adds-more-travel-restrictions-and-a-curfew-as-coronavirus-lockdown-takes-effect/,https://www.ilfattoquotidiano.it/2020/03/13/il-coronavirus-arriva-anche-in-america-latina-ora-yes-prevede-una-grande-battaglia/5735395/,https://www.ekosnegocios.com/articulo/ecuador-intenta-frenar-el-avance-de-coronavirus-covid-19-con-las-yesguientes-medidas,,https://www.ekosnegocios.com/articulo/ecuador-intenta-frenar-el-avance-de-coronavirus-covid-19-con-las-yesguientes-medidas,https://www.agenzianova.com/a/0/2864980/2020-03-24/ecuador-coronavirus-da-oggi-a-quito-la-spesa-yes-fa-con-numeri-di-serie-dei-documenti-4/linked,https://www.reuters.com/article/health-coronavirus-ecuador/ecuador-closes-borders-to-foreign-travelers-due-to-coronavirus-idUSL8N2B70XK,https://cnnespanol.cnn.com/2020/03/13/ascienden-a-20-los-casos-de-coronavirus-en-ecuador-y-el-gobierno-pide-disciplina-a-los-ciudadanos/,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
ESP,,,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,https://english.elpais.com/society/2020-03-13/catalan-authorities-confine-70000-reyesdents-of-four-municipalities-in-bid-to-slow-coronavirus-infections.html,https://administracion.gob.es/pag_Home/atencionCiudadana/Estado-de-alarma-criyess-sanitaria.html#Declaraci%C3%B3n%20del%20estado%20de%20alarma-8022bd1d91bd,,,,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,,,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,,https://www.laliga.com/en-GB/news/official-statement-laliga-agrees-suspenyeson-of-the-competition,https://www.theguardian.com/world/2020/mar/14/spain-government-set-to-order-nationwide-coronavirus-lockdown,https://www.elmundo.es/ciencia-y-salud/salud/2020/03/22/5e770047fc6c8382678b45bf.html,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
EST,,,,,https://news.err.ee/1063224/estonian-government-declares-emergency-yestuation-against-coronavirus,,https://news.err.ee/1063224/estonian-government-declares-emergency-yestuation-against-coronavirus,https://uudised.tv3.ee/et/eesti/uudis/2020/03/12/fotod-koroonaviiruse-kahtlus-viljandis-vallandas-ostuhulluse,,https://news.err.ee/1070194/emergency-yestuation-restrictions-tighten-in-saaremaa-and-muhu,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,https://news.err.ee/1063224/estonian-government-declares-emergency-yestuation-against-coronavirus,,https://news.err.ee/1063224/estonian-government-declares-emergency-yestuation-against-coronavirus,,https://www.err.ee/1064078/eesti-sulgeb-piirid-valisriikide-kodanikele,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
FIN,,,http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,,,https://yle.fi/uutiset/osasto/news/fridays_papers_marin_meeting_stockpilers_clear_shelves_football_stars_disappointed/11254845,,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,,,ocse ,https://yle.fi/uutiset/osasto/news/finland_shuts_down_uuyesmaa_to_fight_coronavirus/11276242,,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
FRA,,,,,https://www.connexionfrance.com/French-news/Covid-19-coronavirus-in-France-What-is-social-distancing-that-Prime-Minister-Edouard-Philippe-has-recommended,,,"https://www.francetvinfo.fr/sante/maladie/coronavirus/pandemie-les-supermarches-victimes-de-la-panique-des-francais_3870523.html ; https://www.ladepeche.fr/2020/03/20/covid-19-gestes-de-panique-au-supermarche,8810234.php",https://www.ilsole24ore.com/art/le-misure-adottate-francia-spagna-germania-e-uk-stati-uniti-grande-paura-ADCgc2E,,,https://www.cnbc.com/2020/03/13/coronavirus-france-shuts-schools-to-avoid-being-the-next-italy.html,https://time.com/5793002/france-gatherings-kisyesng-covid-19-coronavirus/,https://www.reuters.com/article/us-china-health-france-fashion-idUSKCN20M23F,https://generationsport.it/coronavirus-sospesa-ligue-1-mentre-e-lultimo-weekend-in-bundesliga/,https://www.ilsole24ore.com/art/le-misure-adottate-francia-spagna-germania-e-uk-stati-uniti-grande-paura-ADCgc2E,,,https://www.aljazeera.com/news/2020/03/toll-rises-coronavirus-tightens-global-grip-live-updates-200315231500487.html,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
GBR,,,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#australia-closed-non-essential-buyesnesses-on-monday-further-closures-were-announced-on-tuesday-and-were-enacted-on-wednesday-8,,,,,https://www.thegrocer.co.uk/service-and-availability/supermarkets-sell-out-of-hand-sanitiser-amid-coronavirus-panic-buying/602551.article ; https://www.theguardian.com/buyesness/2020/mar/02/uk-supermarkets-braced-for-stockpiling-if-coronavirus-escalates-panic-buying,https://www.theguardian.com/world/2020/mar/20/london-pubs-cinemas-and-gyms-may-close-in-covid-19-clampdown,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#australia-closed-non-essential-buyesnesses-on-monday-further-closures-were-announced-on-tuesday-and-were-enacted-on-wednesday-8,,https://www.theguardian.com/sport/2020/mar/13/english-football-league-london-marathon-masters-golf-giro-ditalia-coronavirus,https://www.cnbc.com/2020/03/20/coronavirus-uk-pm-announces-lockdown-measures-in-london.html,,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
HUN,,,https://www.nytimes.com/reuters/2020/03/27/world/europe/27reuters-health-coronavirus-hungary-restrictions.html,,https://www.nytimes.com/reuters/2020/03/27/world/europe/27reuters-health-coronavirus-hungary-restrictions.html,,https://www.nytimes.com/reuters/2020/03/27/world/europe/27reuters-health-coronavirus-hungary-restrictions.html,https://hungarytoday.hu/hungary-coronavirus-supermarkets-panic-buying/,https://www.nytimes.com/reuters/2020/03/27/world/europe/27reuters-health-coronavirus-hungary-restrictions.html,,https://euobserver.com/tickers/147756,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,https://www.nytimes.com/reuters/2020/03/27/world/europe/27reuters-health-coronavirus-hungary-restrictions.html,,,,https://euobserver.com/tickers/147756,,,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures
IND,,,https://www.buyesnesyesnyesder.com/countries-on-lockdown-coronavirus-italy-2020-3?IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7,,,,https://www.ndtv.com/india-news/coronavirus-impact-visas-to-india-suspended-till-april-15-2193382,https://www.thehindu.com/news/cities/Hyderabad/panicked-shoppers-clear-out-grocery-shops/article31131827.ece,,https://www.livemint.com/news/india/coronavirus-maharashtra-orders-closure-of-malls-cinema-halls-in-five-cities-until-31-march-11584102050561.html ; https://www.tribuneindia.com/news/punjab-schools-shut-till-march-31-to-prevent-coronavirus-spread-54917 ; https://www.livehindustan.com/career/story-coronavirus-school-college-in-chhattisgarh-closed-till-31-march-3082405.html,,https://news.abplive.com/videos/news/india-coronavirus-in-india-all-schools-colleges-shut-down-till-march-31-1176326,,https://www.livemint.com/news/india/coronavirus-attari-border-ceremony-to-be-conducted-without-public-presence/amp-11583503640550.html,https://economictimes.indiatimes.com/news/sports/virus-hits-indian-sports/articleshow/74519560.cms,,https://www.mohfw.gov.in/NewinstructionsDt14032020Restirctiononinternationalpassengertraffic.pdf ; https://www.indiatvnews.com/news/india/no-international-commercial-flight-will-be-allowed-to-land-india-from-march-22-599644,,,https://news.abplive.com/videos/news/india-coronavirus-in-india-all-schools-colleges-shut-down-till-march-31-1176326
